direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"CR N-230, 129",L-D: 08:00-14:00 y 16:00-20:00,42.4525,VILALLER,0.70925,Vilaller,1.739,,1.809,,1.749,,1.909,LLEIDA,CAMPSA
CTRA. N-II km 484,L-D: 24H,41.650833,VILA-SANA,0.898806,Vila-sana,1.745,,,,,,,LLEIDA,IDS
"CARRETERA A-2 KM. 489,5",L-D: 06:00-22:00,41.643444,VILA-SANA,0.931306,Vila-sana,1.799,,1.875,,1.859,,1.929,LLEIDA,CEPSA
"CR A-2, 486,4 (A-2 km 486,5)",L-D: 24H,41.6425,VILA-SANA,0.894917,Vila-sana,1.745,,1.835,,1.84,,,LLEIDA,REPSOL
N-634 KM.603 IRUN-SANTIAGO,L-D: 24H,43.370306,ABADIN,-7.450417,Abadín,1.759,1.419,1.809,,1.789,,,LUGO,CEPSA
"LUGAR ZONA DE PUIDA - PARROQUIA DE GALGAO, S/N",L-D: 06:30-23:00,43.379889,XESTA (A),-7.426694,Abadín,1.769,,1.859,,1.809,,1.959,LUGO,REPSOL
"CARRETERA LU-160 KM. 18,10",L-D: 07:00-23:00,43.529222,ALFOZ,-7.414583,Alfoz,1.809,1.479,1.869,,1.819,,,LUGO,CEPSA
"CR N-640 138,5",L-D: 07:00-23:00,42.781972,ANTAS DE ULLA,-7.898806,Antas de Ulla,1.719,1.448,1.779,,1.769,,,LUGO,REPSOL
"AVENIDA DE BARALLA, 5",L-D: 07:30-22:00,43.001139,CADAVO (O),-7.234194,Baleira,1.719,1.404,1.785,,1.799,,,LUGO,CEPSA
"CALLE EVARISTO CORREA CALDERON, 46",L-D: 07:00-23:00,42.893083,BARALLA,-7.254306,Baralla,1.769,1.359,1.819,,1.779,,1.909,LUGO,CEPSA-E.S. ROCA
"POLIGONO PG INDUSTRIAL DE BARREIROS, PARCELA B, 54",L-D: 24H,43.539444,BARREIROS (CASCO URBANO),-7.26025,Barreiros,1.659,,,,1.769,,,LUGO,ORTEGAL OIL
"CR N-634, 570,4",L-D: 07:00-23:00,43.539972,BARREIROS (CASCO URBANO),-7.241778,Barreiros,1.759,1.373,1.859,,1.809,,1.969,LUGO,REPSOL
